Player,Age,Tm,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,Year
Dalvin Cook,29.0,DAL,RB,2.0,0.0,8.0,20.0,0.0,0.0,37.5,4.0,2.5,10.0,4.0,0.0,,2024
Tommy DeVito,26.0,NYG,QB,3.0,2.0,8.0,32.0,0.0,1.0,25.0,17.0,4.0,10.7,2.7,0.0,,2024
Tyreek Hill,30.0,MIA,WR,17.0,17.0,8.0,53.0,0.0,2.0,62.5,16.0,6.6,3.1,0.5,0.0,,2024
Bo Melton,25.0,GNB,WR,17.0,0.0,8.0,54.0,0.0,4.0,62.5,16.0,6.8,3.2,0.5,0.0,,2024
Calvin Ridley,30.0,TEN,WR,17.0,14.0,8.0,55.0,1.0,3.0,75.0,19.0,6.9,3.2,0.5,1.0,,2024
Sterling Shepard,31.0,TAM,WR,14.0,5.0,8.0,69.0,0.0,4.0,62.5,24.0,8.6,4.9,0.6,0.0,,2024
Michael Burton,32.0,DEN,FB,17.0,2.0,7.0,8.0,1.0,3.0,57.1,3.0,1.1,0.5,0.4,0.0,,2024
Michael Penix,24.0,ATL,QB,5.0,3.0,7.0,11.0,1.0,1.0,14.3,5.0,1.6,2.2,1.4,2.0,,2024
Clayton Tune,25.0,ARI,QB,6.0,0.0,7.0,-4.0,0.0,2.0,28.6,2.0,-0.6,-0.7,1.2,1.0,,2024
Tyson Bagent,24.0,CHI,QB,4.0,0.0,6.0,-7.0,0.0,0.0,0.0,,-1.2,-1.8,1.5,0.0,,2024
Travis Homer,26.0,CHI,RB,10.0,0.0,6.0,23.0,0.0,2.0,66.7,6.0,3.8,2.3,0.6,0.0,,2024
Jermar Jefferson,24.0,DET,RB,2.0,0.0,6.0,22.0,0.0,1.0,83.3,8.0,3.7,11.0,3.0,0.0,,2024
Xavier Legette,23.0,CAR,WR,16.0,13.0,6.0,24.0,0.0,2.0,50.0,8.0,4.0,1.5,0.4,0.0,,2024
MarShawn Lloyd,23.0,GNB,RB,1.0,0.0,6.0,15.0,0.0,0.0,16.7,5.0,2.5,15.0,6.0,0.0,,2024
Rashid Shaheed,26.0,NOR,WR,6.0,5.0,6.0,29.0,0.0,2.0,50.0,13.0,4.8,4.8,1.0,1.0,,2024
Aaron Shampklin,25.0,PIT,RB,3.0,0.0,6.0,17.0,0.0,1.0,16.7,5.0,2.8,5.7,2.0,0.0,,2024
Brian Thomas,22.0,JAX,WR,17.0,16.0,6.0,48.0,0.0,3.0,66.7,18.0,8.0,2.8,0.4,0.0,"PB,AP ORoY-4",2024
Sione Vaki,23.0,DET,RB,16.0,0.0,6.0,14.0,0.0,0.0,33.3,7.0,2.3,0.9,0.4,0.0,,2024
Brock Bowers,22.0,LVR,TE,17.0,16.0,5.0,13.0,0.0,2.0,60.0,12.0,2.6,0.8,0.3,0.0,"PB,AP-1,AP ORoY-2",2024
Chris Collier,24.0,LVR,RB,3.0,0.0,5.0,12.0,0.0,0.0,20.0,4.0,2.4,4.0,1.7,0.0,,2024
Greg Dortch,26.0,ARI,WR,17.0,4.0,5.0,31.0,0.0,1.0,100.0,8.0,6.2,1.8,0.3,3.0,,2024
Ashton Dulin,27.0,IND,WR,15.0,2.0,5.0,45.0,0.0,2.0,100.0,12.0,9.0,3.0,0.3,0.0,,2024
Mecole Hardman,26.0,KAN,WR,12.0,0.0,5.0,62.0,1.0,2.0,100.0,20.0,12.4,5.2,0.4,0.0,,2024
Hendon Hooker,26.0,DET,QB,3.0,0.0,5.0,2.0,0.0,1.0,20.0,3.0,0.4,0.7,1.7,0.0,,2024
Kyle Juszczyk,33.0,SFO,FB,17.0,15.0,5.0,26.0,1.0,1.0,20.0,14.0,5.2,1.5,0.3,1.0,"PB,AP-2",2024
Jacob Kibodi,26.0,CLE,RB,1.0,0.0,5.0,24.0,0.0,1.0,20.0,17.0,4.8,24.0,5.0,0.0,,2024
Tanner McKee,24.0,PHI,QB,2.0,1.0,5.0,-1.0,0.0,1.0,20.0,2.0,-0.2,-0.5,2.5,0.0,,2024
Malik Nabers,21.0,NYG,WR,15.0,13.0,5.0,2.0,0.0,1.0,40.0,4.0,0.4,0.1,0.3,1.0,"PB,AP ORoY-5",2024
Curtis Samuel,28.0,BUF,WR,14.0,2.0,5.0,14.0,0.0,0.0,40.0,7.0,2.8,1.0,0.4,0.0,,2024
Jaxon Smith-Njigba,22.0,SEA,WR,17.0,16.0,5.0,26.0,0.0,1.0,60.0,8.0,5.2,1.5,0.3,1.0,PB,2024
Kyle Trask,26.0,TAM,QB,4.0,0.0,5.0,-4.0,0.0,0.0,0.0,,-0.8,-1.0,1.3,0.0,,2024
DJ Turner,27.0,LVR,WR,12.0,6.0,5.0,33.0,1.0,1.0,60.0,18.0,6.6,2.8,0.4,1.0,,2024
Jonathan Ward,27.0,PIT,RB,4.0,0.0,5.0,22.0,0.0,1.0,60.0,7.0,4.4,5.5,1.3,0.0,,2024
Malik Washington,23.0,MIA,WR,14.0,3.0,5.0,25.0,1.0,1.0,60.0,18.0,5.0,1.8,0.4,1.0,,2024
Mark Andrews,29.0,BAL,TE,17.0,13.0,4.0,5.0,0.0,3.0,75.0,2.0,1.3,0.3,0.2,0.0,AP CPoY-19,2024
Devin Duvernay,27.0,JAX,WR,13.0,1.0,4.0,3.0,0.0,1.0,50.0,4.0,0.8,0.2,0.3,1.0,,2024
Josh Johnson,38.0,BAL,QB,6.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,0.3,0.2,0.7,0.0,,2024
Tony Jones,27.0,ARI,RB,1.0,0.0,4.0,55.0,1.0,1.0,50.0,46.0,13.8,55.0,4.0,0.0,,2024
Jalen McMillan,23.0,TAM,WR,13.0,12.0,4.0,43.0,0.0,3.0,100.0,17.0,10.8,3.3,0.3,0.0,,2024
Adonai Mitchell,22.0,IND,WR,17.0,7.0,4.0,6.0,0.0,1.0,50.0,10.0,1.5,0.4,0.2,2.0,,2024
Xavier Smith,27.0,LAR,WR,15.0,0.0,4.0,36.0,0.0,1.0,75.0,24.0,9.0,2.4,0.3,0.0,,2024
Jarrett Stidham,28.0,DEN,QB,3.0,0.0,4.0,5.0,0.0,1.0,25.0,8.0,1.3,1.7,1.3,0.0,,2024
Jaylen Waddle,26.0,MIA,WR,15.0,15.0,4.0,12.0,0.0,1.0,75.0,6.0,3.0,0.8,0.3,0.0,,2024
Blake Watson,25.0,DEN,RB,2.0,0.0,4.0,10.0,0.0,2.0,75.0,7.0,2.5,5.0,2.0,0.0,,2024
Christian Watson,25.0,GNB,WR,15.0,15.0,4.0,23.0,0.0,1.0,75.0,14.0,5.8,1.5,0.3,1.0,,2024
Jordan Addison,22.0,MIN,WR,15.0,15.0,3.0,20.0,1.0,1.0,100.0,9.0,6.7,1.3,0.2,0.0,,2024
Brandon Allen,32.0,SFO,QB,3.0,1.0,3.0,4.0,0.0,0.0,0.0,6.0,1.3,1.3,1.0,2.0,,2024
Dyami Brown,25.0,WAS,WR,16.0,3.0,3.0,26.0,0.0,1.0,100.0,14.0,8.7,1.6,0.2,1.0,,2024
Ja'Marr Chase,24.0,CIN,WR,17.0,16.0,3.0,32.0,0.0,2.0,100.0,14.0,10.7,1.9,0.2,0.0,"PB,AP-1,AP MVP-8,AP OPoY-3",2024
Brandin Cooks,31.0,DAL,WR,10.0,9.0,3.0,-3.0,0.0,0.0,33.3,5.0,-1.0,-0.3,0.3,0.0,,2024
Tyrion Davis-Price,24.0,PHI,RB,1.0,0.0,3.0,7.0,0.0,0.0,0.0,5.0,2.3,7.0,3.0,0.0,,2024
Stefon Diggs,31.0,HOU,WR,8.0,8.0,3.0,8.0,1.0,1.0,66.7,6.0,2.7,1.0,0.4,0.0,,2024
Demario Douglas,24.0,NWE,WR,17.0,7.0,3.0,16.0,0.0,0.0,66.7,9.0,5.3,0.9,0.2,1.0,,2024
Darrynton Evans,26.0,CHI,RB,5.0,0.0,3.0,3.0,0.0,0.0,33.3,4.0,1.0,0.6,0.6,0.0,,2024
Myles Gaskin,27.0,MIN,RB,5.0,0.0,3.0,-1.0,0.0,0.0,0.0,2.0,-0.3,-0.2,0.6,0.0,,2024
Reggie Gilliam,27.0,BUF,FB,15.0,0.0,3.0,7.0,0.0,1.0,33.3,4.0,2.3,0.5,0.2,0.0,,2024
George Holani,25.0,SEA,RB,5.0,0.0,3.0,10.0,0.0,1.0,66.7,8.0,3.3,2.0,0.6,0.0,,2024
Quentin Johnston,23.0,LAC,WR,15.0,11.0,3.0,6.0,0.0,0.0,33.3,4.0,2.0,0.4,0.2,0.0,,2024
Tucker Kraft,24.0,GNB,TE,17.0,17.0,3.0,6.0,0.0,3.0,100.0,2.0,2.0,0.4,0.2,1.0,,2024
Davis Mills,26.0,HOU,QB,4.0,0.0,3.0,11.0,0.0,1.0,66.7,9.0,3.7,2.8,0.8,0.0,,2024
Nick Mullens,29.0,MIN,QB,4.0,0.0,3.0,-2.0,0.0,0.0,0.0,,-0.7,-0.5,0.8,0.0,,2024
Jalen Nailor,25.0,MIN,WR,17.0,7.0,3.0,-4.0,0.0,1.0,33.3,3.0,-1.3,-0.2,0.2,1.0,,2024
Rome Odunze,22.0,CHI,WR,17.0,12.0,3.0,15.0,0.0,1.0,66.7,8.0,5.0,0.9,0.2,2.0,,2024
Ricky Pearsall,24.0,SFO,WR,11.0,4.0,3.0,45.0,0.0,1.0,66.7,39.0,15.0,4.1,0.3,0.0,,2024
Jalen Reagor,25.0,LAC,WR,8.0,2.0,3.0,-3.0,0.0,0.0,0.0,1.0,-1.0,-0.4,0.4,1.0,,2024
Wan'Dale Robinson,23.0,NYG,WR,17.0,7.0,3.0,18.0,0.0,1.0,33.3,14.0,6.0,1.1,0.2,0.0,,2024
Tyrod Taylor,35.0,NYJ,QB,2.0,0.0,3.0,13.0,0.0,0.0,66.7,7.0,4.3,6.5,1.5,1.0,,2024
Carson Wentz,32.0,KAN,QB,3.0,1.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,2024
Tim Boyle,30.0,2TM,QB,3.0,0.0,3.0,9.0,0.0,1.0,66.7,6.0,3.0,3.0,1.0,0.0,,2024
Tim Boyle,30.0,MIA,QB,2.0,0.0,2.0,10.0,0.0,1.0,100.0,6.0,5.0,5.0,1.0,0.0,,2024
Tim Boyle,30.0,NYG,QB,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,,2024
Velus Jones Jr.,27.0,2TM,WR,3.0,0.0,3.0,11.0,0.0,1.0,66.7,6.0,3.7,3.7,1.0,1.0,,2024
Velus Jones Jr.,27.0,CHI,WR,1.0,0.0,2.0,11.0,0.0,1.0,100.0,6.0,5.5,11.0,2.0,1.0,,2024
Velus Jones Jr.,27.0,CAR,WR,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.5,0.0,,2024
Tutu Atwell,25.0,LAR,WR,17.0,5.0,2.0,7.0,0.0,0.0,50.0,7.0,3.5,0.4,0.1,0.0,,2024
Jake Browning,28.0,CIN,QB,3.0,0.0,2.0,-2.0,0.0,0.0,0.0,,-1.0,-0.7,0.7,0.0,,2024
Treylon Burks,24.0,TEN,WR,5.0,2.0,2.0,1.0,0.0,0.0,50.0,6.0,0.5,0.2,0.4,0.0,,2024
Malachi Corley,22.0,NYJ,WR,9.0,1.0,2.0,26.0,0.0,1.0,100.0,18.0,13.0,2.9,0.2,1.0,,2024
Troy Franklin,21.0,DEN,WR,16.0,6.0,2.0,8.0,0.0,0.0,50.0,5.0,4.0,0.5,0.1,0.0,,2024
Jimmy Garoppolo,33.0,LAR,QB,1.0,1.0,2.0,5.0,0.0,0.0,50.0,5.0,2.5,5.0,2.0,0.0,,2024
C.J. Ham,31.0,MIN,FB,17.0,3.0,2.0,10.0,1.0,1.0,100.0,8.0,5.0,0.6,0.1,1.0,,2024
Taylor Heinicke,31.0,LAC,QB,4.0,0.0,2.0,20.0,0.0,1.0,50.0,12.0,10.0,5.0,0.5,0.0,,2024
Diontae Johnson,28.0,3TM,WR,12.0,8.0,2.0,6.0,0.0,1.0,50.0,4.0,3.0,0.5,0.2,0.0,,2024
Diontae Johnson,28.0,CAR,WR,7.0,7.0,2.0,6.0,0.0,1.0,50.0,4.0,3.0,0.9,0.3,0.0,,2024
Kameron Johnson,22.0,TAM,WR,5.0,0.0,2.0,11.0,0.0,1.0,50.0,11.0,5.5,2.2,0.4,0.0,,2024
Cooper Kupp,31.0,LAR,WR,12.0,11.0,2.0,10.0,0.0,1.0,50.0,9.0,5.0,0.8,0.2,1.0,,2024
Tyreik McAllister,26.0,LVR,WR,3.0,0.0,2.0,11.0,0.0,1.0,50.0,10.0,5.5,3.7,0.7,0.0,,2024
Terry McLaurin,29.0,WAS,WR,17.0,17.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,1.0,"PB,AP-2",2024
Jakobi Meyers,28.0,LVR,WR,15.0,15.0,2.0,23.0,0.0,1.0,50.0,20.0,11.5,1.5,0.1,0.0,,2024
Jonathan Mingo,23.0,2TM,WR,17.0,6.0,2.0,5.0,0.0,0.0,0.0,3.0,2.5,0.3,0.1,1.0,,2024
Jonathan Mingo,23.0,CAR,WR,9.0,5.0,2.0,5.0,0.0,0.0,0.0,3.0,2.5,0.6,0.2,1.0,,2024
George Pickens,23.0,PIT,WR,14.0,12.0,2.0,-6.0,0.0,0.0,50.0,4.0,-3.0,-0.4,0.1,1.0,,2024
Kalif Raymond,30.0,DET,WR,12.0,2.0,2.0,0.0,0.0,1.0,50.0,,0.0,0.0,0.2,0.0,AP-2,2024
Khalil Shakir,24.0,BUF,WR,15.0,9.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,0.3,0.1,1.0,,2024
Darius Slayton,27.0,NYG,WR,16.0,13.0,2.0,17.0,0.0,1.0,100.0,11.0,8.5,1.1,0.1,1.0,,2024
Ainias Smith,23.0,PHI,WR,7.0,1.0,2.0,6.0,0.0,1.0,50.0,4.0,3.0,0.9,0.3,0.0,,2024
Jonnu Smith,29.0,MIA,TE,17.0,6.0,2.0,-1.0,0.0,0.0,0.0,,-0.5,-0.1,0.1,2.0,PB,2024
Amon-Ra St. Brown,25.0,DET,WR,17.0,17.0,2.0,6.0,0.0,1.0,50.0,10.0,3.0,0.4,0.1,1.0,"PB,AP-1,AP OPoY-11",2024
Deven Thompkins,25.0,CAR,WR,7.0,0.0,2.0,7.0,0.0,0.0,50.0,9.0,3.5,1.0,0.3,0.0,,2024
Kadarius Toney,25.0,CLE,WR,3.0,0.0,2.0,-4.0,0.0,0.0,0.0,3.0,-2.0,-1.3,0.7,1.0,,2024
Ke'Shawn Vaughn,27.0,SFO,RB,3.0,0.0,2.0,4.0,0.0,0.0,0.0,3.0,2.0,1.3,0.7,0.0,,2024
Jordan Whittington,24.0,LAR,WR,15.0,3.0,2.0,12.0,0.0,2.0,100.0,7.0,6.0,0.8,0.1,0.0,,2024
Garrett Wilson,24.0,NYJ,WR,17.0,17.0,2.0,5.0,0.0,1.0,50.0,5.0,2.5,0.3,0.1,2.0,,2024
Bailey Zappe,25.0,CLE,QB,1.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0,,2024
Kevin Austin,24.0,NOR,WR,8.0,2.0,1.0,9.0,0.0,0.0,100.0,9.0,9.0,1.1,0.1,1.0,,2024
Jake Bailey,27.0,MIA,P,17.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.1,1.0,,2024
Dane Belton,24.0,NYG,S,17.0,6.0,1.0,10.0,0.0,1.0,100.0,10.0,10.0,0.6,0.1,0.0,,2024
Kendrick Bourne,29.0,NWE,WR,12.0,9.0,1.0,6.0,0.0,1.0,100.0,6.0,6.0,0.5,0.1,0.0,,2024
Tyler Boyd,30.0,TEN,WR,16.0,8.0,1.0,3.0,0.0,1.0,100.0,3.0,3.0,0.2,0.1,0.0,,2024
British Brooks,25.0,HOU,RB,5.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.4,0.2,0.0,,2024
Keon Coleman,21.0,BUF,WR,13.0,12.0,1.0,9.0,0.0,0.0,100.0,9.0,9.0,0.7,0.1,0.0,,2024
Tyler Conklin,29.0,NYJ,TE,16.0,15.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.1,0.0,,2024
Jacob Cowing,23.0,SFO,WR,15.0,0.0,1.0,7.0,0.0,0.0,100.0,7.0,7.0,0.5,0.1,2.0,,2024
Ashtyn Davis,28.0,NYJ,S,15.0,1.0,1.0,21.0,0.0,1.0,100.0,21.0,21.0,1.4,0.1,0.0,,2024
Jahan Dotson,24.0,PHI,WR,17.0,6.0,1.0,13.0,0.0,1.0,100.0,13.0,13.0,0.8,0.1,0.0,,2024
Josh Downs,23.0,IND,WR,14.0,8.0,1.0,12.0,0.0,0.0,0.0,13.0,12.0,0.9,0.1,0.0,,2024
Xavier Gipson,23.0,NYJ,WR,17.0,0.0,1.0,5.0,0.0,1.0,100.0,5.0,5.0,0.3,0.1,4.0,,2024
Chris Godwin,28.0,TAM,WR,7.0,7.0,1.0,2.0,0.0,1.0,100.0,2.0,2.0,0.3,0.1,1.0,,2024
Noah Gray,25.0,KAN,TE,17.0,10.0,1.0,-4.0,0.0,0.0,0.0,-4.0,-4.0,-0.2,0.1,0.0,,2024
Matthew Hayball,27.0,NOR,P,17.0,0.0,1.0,11.0,0.0,1.0,100.0,11.0,11.0,0.6,0.1,0.0,,2024
Jaden Hicks,22.0,KAN,DB,17.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,0.0,,2024
Sam Howell,24.0,SEA,QB,2.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.5,0.0,,2024
Tanner Hudson,30.0,CIN,TE,11.0,0.0,1.0,1.0,0.0,1.0,100.0,1.0,1.0,0.1,0.1,1.0,,2024
Jermaine Jackson,24.0,NOR,WR,4.0,0.0,1.0,-1.0,0.0,0.0,0.0,,-1.0,-0.3,0.3,0.0,,2024
Jha'Quan Jackson,24.0,TEN,WR,12.0,0.0,1.0,-5.0,0.0,0.0,0.0,,-5.0,-0.4,0.1,5.0,,2024
Justin Jefferson,25.0,MIN,WR,17.0,17.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,0.2,0.1,1.0,"PB,AP-1,AP OPoY-7",2024
Marcus Jones,26.0,NWE,CB,14.0,9.0,1.0,5.0,0.0,0.0,100.0,5.0,5.0,0.4,0.1,2.0,,2024
Travis Kelce,35.0,KAN,TE,16.0,16.0,1.0,1.0,0.0,0.0,100.0,1.0,1.0,0.1,0.1,2.0,PB,2024
Joshua Kelley,27.0,TEN,RB,3.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.7,0.3,0.0,,2024
Charlie Kolar,25.0,BAL,TE,13.0,3.0,1.0,2.0,0.0,1.0,100.0,2.0,2.0,0.2,0.1,0.0,,2024
Dylan Laube,25.0,LVR,RB,10.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.1,1.0,,2024
Drake London,23.0,ATL,WR,17.0,17.0,1.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,-0.2,0.1,0.0,,2024
Julian Love,26.0,SEA,FS,17.0,17.0,1.0,2.0,0.0,1.0,100.0,2.0,2.0,0.1,0.1,0.0,,2024
Trey McBride,25.0,ARI,TE,16.0,16.0,1.0,2.0,1.0,1.0,100.0,2.0,2.0,0.1,0.1,0.0,PB,2024
David Moore,29.0,CAR,WR,17.0,5.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.1,0.0,,2024
Elijah Moore,24.0,CLE,WR,17.0,13.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,0.0,,2024
Chigoziem Okonkwo,25.0,TEN,TE,17.0,11.0,1.0,17.0,0.0,1.0,100.0,17.0,17.0,1.0,0.1,2.0,,2024
Chris Oladokun,27.0,KAN,QB,1.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,1.0,,2024
Chris Olave,24.0,NOR,WR,8.0,8.0,1.0,7.0,0.0,1.0,100.0,7.0,7.0,0.9,0.1,1.0,,2024
Cade Otton,25.0,TAM,TE,14.0,14.0,1.0,-4.0,0.0,0.0,0.0,-4.0,-4.0,-0.3,0.1,2.0,,2024
Dell Pettus,23.0,NWE,S,17.0,1.0,1.0,2.0,0.0,1.0,100.0,2.0,2.0,0.1,0.1,0.0,,2024
Ja'Lynn Polk,22.0,NWE,WR,15.0,7.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.1,0.0,,2024
Jalen Reeves-Maybin,29.0,DET,LB,10.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,0.0,,2024
Rashee Rice,24.0,KAN,WR,4.0,4.0,1.0,1.0,0.0,1.0,100.0,1.0,1.0,0.3,0.3,0.0,,2024
Drew Sample,28.0,CIN,TE,17.0,15.0,1.0,-4.0,0.0,0.0,0.0,,-4.0,-0.2,0.1,1.0,,2024
Cody Schrader,25.0,LAR,RB,1.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,,2024
JK Scott,29.0,LAC,P,17.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.1,1.0,,2024
Laviska Shenault Jr.,26.0,SEA,WR,11.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,2.0,,2024
Steven Sims,27.0,HOU,WR,7.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.1,2.0,,2024
DeVonta Smith,26.0,PHI,WR,13.0,13.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,0.0,,2024
Tavierre Thomas,28.0,TAM,CB,17.0,0.0,1.0,-2.0,0.0,0.0,0.0,,-2.0,-0.1,0.1,0.0,,2024
Skylar Thompson,27.0,MIA,QB,3.0,1.0,1.0,4.0,0.0,0.0,0.0,4.0,4.0,1.3,0.3,2.0,,2024
Cedric Tillman,24.0,CLE,WR,11.0,6.0,1.0,-5.0,0.0,0.0,0.0,,-5.0,-0.5,0.1,1.0,,2024
Marquez Valdes-Scantling,30.0,2TM,WR,14.0,8.0,1.0,4.0,0.0,0.0,0.0,4.0,4.0,0.3,0.1,0.0,,2024
Marquez Valdes-Scantling,30.0,NOR,WR,8.0,8.0,1.0,4.0,0.0,0.0,0.0,4.0,4.0,0.5,0.1,0.0,,2024
Michael Wilson,24.0,ARI,WR,16.0,13.0,1.0,7.0,0.0,0.0,0.0,7.0,7.0,0.4,0.1,1.0,,2024
Olamide Zaccheaus,27.0,WAS,WR,17.0,6.0,1.0,8.0,0.0,1.0,100.0,8.0,8.0,0.5,0.1,3.0,,2024
